1-11	MC
150	SPEC   	(
150	IDEN   	fr
150	OPER   	,
150	IDEN   	fout
150	OPER   	,
150	IDEN   	buffer
150	SPEC   	)
150	SPEC   	)
151	SPEC   	{
152	IDEN   	report_token
152	SPEC   	(
152	IDEN   	fr
152	OPER   	,
152	IDEN   	fout
152	OPER   	,
152	IDEN   	IDEN
152	OPER   	,
152	IDEN   	buffer
152	SPEC   	)
152	SPEC   	;
153	SPEC   	}
154	SPEC   	}
156	IDEN   	void
157	IDEN   	scan_integer
157	SPEC   	(
157	IDEN   	FileReader
157	OPER   	*
157	IDEN   	fr
157	OPER   	,
157	IDEN   	FILE
157	OPER   	*
157	IDEN   	fout
157	SPEC   	)
158	SPEC   	{
159	REWD   	char
159	IDEN   	c
159	OPER   	=
159	IDEN   	fgetc
159	SPEC   	(
159	IDEN   	fr
159	OPER   	->
159	IDEN   	fin
159	SPEC   	)
159	SPEC   	;
160	REWD   	char
160	IDEN   	buffer
160	OPER   	[
160	INTE   	256
160	OPER   	]
160	SPEC   	;
161	REWD   	int
161	IDEN   	index
161	OPER   	=
161	INTE   	0
161	SPEC   	;
163	SC     	
164	REWD   	if
164	SPEC   	(
164	IDEN   	c
164	OPER   	==
164	CHAR   	+
164	OPER   	||
164	IDEN   	c
164	OPER   	==
164	CHAR   	-
164	SPEC   	)
165	SPEC   	{
166	IDEN   	buffer
166	OPER   	[
166	IDEN   	index
166	OPER   	++
166	OPER   	]
166	OPER   	=
166	IDEN   	c
166	SPEC   	;
167	IDEN   	c
167	OPER   	=
167	IDEN   	fgetc
167	SPEC   	(
167	IDEN   	fr
167	OPER   	->
167	IDEN   	fin
167	SPEC   	)
167	SPEC   	;
168	SPEC   	}
171	REWD   	int
171	IDEN   	cnt
171	OPER   	=
171	INTE   	1
171	SPEC   	;
172	SC     	
173	REWD   	while
173	SPEC   	(
173	IDEN   	isdigit
173	SPEC   	(
173	IDEN   	c
173	SPEC   	)
173	SPEC   	)
174	SPEC   	{
175	IDEN   	buffer
175	OPER   	[
175	IDEN   	index
175	OPER   	++
175	OPER   	]
175	OPER   	=
175	IDEN   	c
175	SPEC   	;
176	IDEN   	c
176	OPER   	=
176	IDEN   	fgetc
176	SPEC   	(
176	IDEN   	fr
176	OPER   	->
176	IDEN   	fin
176	SPEC   	)
176	SPEC   	;
177	IDEN   	cnt
177	OPER   	++
177	SPEC   	;
178	REWD   	if
178	SPEC   	(
178	IDEN   	c
178	OPER   	==
178	CHAR   	.
178	SPEC   	)
179	SPEC   	{
180	IDEN   	fseek
180	SPEC   	(
180	IDEN   	fr
180	OPER   	->
180	IDEN   	fin
180	OPER   	,
180	INTE   	0
180	OPER   	-
180	IDEN   	cnt
180	OPER   	,
180	IDEN   	SEEK_CUR
180	SPEC   	)
180	SPEC   	;
181	REWD   	return
181	IDEN   	scan_float
181	SPEC   	(
181	IDEN   	fr
181	OPER   	,
181	IDEN   	fout
181	SPEC   	)
181	SPEC   	;
182	SPEC   	}
183	SPEC   	}
184	IDEN   	fseek
184	SPEC   	(
184	IDEN   	fr
184	OPER   	->
184	IDEN   	fin
184	OPER   	,
184	OPER   	,
184	IDEN   	SEEK_CUR
184	SPEC   	)
184	SPEC   	;
186	SC     	
187	REWD   	if
187	SPEC   	(
187	OPER   	!
187	IDEN   	isdigit
187	SPEC   	(
187	IDEN   	buffer
187	OPER   	[
187	IDEN   	index
187	OPER   	-
187	INTE   	1
187	OPER   	]
187	SPEC   	)
187	SPEC   	)
188	SPEC   	{
189	IDEN   	fseek
189	SPEC   	(
189	IDEN   	fr
189	OPER   	->
189	IDEN   	fin
189	OPER   	,
189	OPER   	,
189	IDEN   	SEEK_CUR
189	SPEC   	)
189	SPEC   	;
190	IDEN   	index
190	OPER   	--
190	SPEC   	;
191	SPEC   	}
193	IDEN   	buffer
193	OPER   	[
193	IDEN   	index
193	OPER   	]
193	OPER   	=
193	CHAR   	\\0
193	SPEC   	;
195	SC     	
196	IDEN   	report_token
196	SPEC   	(
196	IDEN   	fr
196	OPER   	,
196	IDEN   	fout
196	OPER   	,
196	IDEN   	INTE
196	OPER   	,
196	IDEN   	buffer
196	SPEC   	)
196	SPEC   	;
197	SPEC   	}
199	IDEN   	void
200	IDEN   	scan_hexadecimal
200	SPEC   	(
200	IDEN   	FileReader
200	OPER   	*
200	IDEN   	fr
200	OPER   	,
200	IDEN   	FILE
200	OPER   	*
200	IDEN   	fout
200	SPEC   	)
201	SPEC   	{
202	REWD   	char
202	IDEN   	c
202	OPER   	=
202	IDEN   	fgetc
202	SPEC   	(
202	IDEN   	fr
202	OPER   	->
202	IDEN   	fin
202	SPEC   	)
202	SPEC   	;
203	REWD   	char
203	IDEN   	buffer
203	OPER   	[
203	INTE   	256
203	OPER   	]
203	SPEC   	;
204	REWD   	int
204	IDEN   	index
204	OPER   	=
204	INTE   	0
204	SPEC   	;
205	IDEN   	buffer
205	OPER   	[
205	IDEN   	index
205	OPER   	++
205	OPER   	]
205	OPER   	=
205	IDEN   	c
205	SPEC   	;
207	REWD   	while
207	SPEC   	(
207	SPEC   	(
207	IDEN   	c
207	OPER   	=
207	IDEN   	fgetc
207	SPEC   	(
207	IDEN   	fr
207	OPER   	->
207	IDEN   	fin
207	SPEC   	)
207	SPEC   	)
207	OPER   	!=
207	IDEN   	EOF
207	OPER   	&&
207	IDEN   	isxdigit
207	SPEC   	(
207	IDEN   	c
207	SPEC   	)
207	SPEC   	)
208	SPEC   	{
209	IDEN   	buffer
209	OPER   	[
209	IDEN   	index
209	OPER   	++
209	OPER   	]
209	OPER   	=
209	IDEN   	c
209	SPEC   	;
210	SPEC   	}
212	IDEN   	buffer
212	OPER   	[
212	IDEN   	index
212	OPER   	]
212	OPER   	=
212	CHAR   	\\0
212	SPEC   	;
214	IDEN   	fseek
214	SPEC   	(
214	IDEN   	fr
214	OPER   	->
214	IDEN   	fin
214	OPER   	,
214	OPER   	,
214	IDEN   	SEEK_CUR
214	SPEC   	)
214	SPEC   	;
215	IDEN   	report_token
215	SPEC   	(
215	IDEN   	fr
215	OPER   	,
215	IDEN   	fout
215	OPER   	,
215	IDEN   	INTE
215	OPER   	,
215	IDEN   	buffer
215	SPEC   	)
215	SPEC   	;
216	SPEC   	}
218	IDEN   	void
219	IDEN   	scan_octal
219	SPEC   	(
219	IDEN   	FileReader
219	OPER   	*
219	IDEN   	fr
219	OPER   	,
219	IDEN   	FILE
219	OPER   	*
219	IDEN   	fout
219	SPEC   	)
220	SPEC   	{
221	REWD   	char
221	IDEN   	c
221	OPER   	=
221	IDEN   	fgetc
221	SPEC   	(
221	IDEN   	fr
221	OPER   	->
221	IDEN   	fin
221	SPEC   	)
221	SPEC   	;
222	REWD   	char
222	IDEN   	buffer
222	OPER   	[
222	INTE   	256
222	OPER   	]
222	SPEC   	;
223	REWD   	int
223	IDEN   	index
223	OPER   	=
223	INTE   	0
223	SPEC   	;
224	IDEN   	buffer
224	OPER   	[
224	IDEN   	index
224	OPER   	++
224	OPER   	]
224	OPER   	=
224	IDEN   	c
224	SPEC   	;
226	REWD   	while
226	SPEC   	(
226	SPEC   	(
226	IDEN   	c
226	OPER   	=
226	IDEN   	fgetc
226	SPEC   	(
226	IDEN   	fr
226	OPER   	->
226	IDEN   	fin
226	SPEC   	)
226	SPEC   	)
226	OPER   	!=
226	IDEN   	EOF
226	OPER   	&&
226	IDEN   	c
226	OPER   	>=
226	CHAR   	0
226	OPER   	&&
226	IDEN   	c
226	OPER   	<=
226	CHAR   	7
226	SPEC   	)
227	SPEC   	{
228	IDEN   	buffer
228	OPER   	[
228	IDEN   	index
228	OPER   	++
228	OPER   	]
228	OPER   	=
228	IDEN   	c
228	SPEC   	;
229	SPEC   	}
231	IDEN   	buffer
231	OPER   	[
231	IDEN   	index
231	OPER   	]
231	OPER   	=
231	CHAR   	\\0
231	SPEC   	;
233	IDEN   	fseek
233	SPEC   	(
233	IDEN   	fr
233	OPER   	->
233	IDEN   	fin
233	OPER   	,
233	OPER   	,
233	IDEN   	SEEK_CUR
233	SPEC   	)
233	SPEC   	;
234	IDEN   	report_token
234	SPEC   	(
234	IDEN   	fr
234	OPER   	,
234	IDEN   	fout
234	OPER   	,
234	IDEN   	INTE
234	OPER   	,
234	IDEN   	buffer
234	SPEC   	)
234	SPEC   	;
235	SPEC   	}
237	IDEN   	void
238	IDEN   	scan_float
238	SPEC   	(
238	IDEN   	FileReader
238	OPER   	*
238	IDEN   	fr
238	OPER   	,
238	IDEN   	FILE
238	OPER   	*
238	IDEN   	fout
238	SPEC   	)
239	SPEC   	{
240	REWD   	char
240	IDEN   	c
240	OPER   	=
240	IDEN   	fgetc
240	SPEC   	(
240	IDEN   	fr
240	OPER   	->
240	IDEN   	fin
240	SPEC   	)
240	SPEC   	;
241	REWD   	char
241	IDEN   	buffer
241	OPER   	[
241	INTE   	256
241	OPER   	]
241	SPEC   	;
242	REWD   	int
242	IDEN   	index
242	OPER   	=
242	INTE   	0
242	SPEC   	;
244	SC     	
245	REWD   	if
245	SPEC   	(
245	IDEN   	c
245	OPER   	==
245	CHAR   	+
245	OPER   	||
245	IDEN   	c
245	OPER   	==
245	CHAR   	-
245	SPEC   	)
246	SPEC   	{
247	IDEN   	buffer
247	OPER   	[
247	IDEN   	index
247	OPER   	++
247	OPER   	]
247	OPER   	=
247	IDEN   	c
247	SPEC   	;
248	IDEN   	c
248	OPER   	=
248	IDEN   	fgetc
248	SPEC   	(
248	IDEN   	fr
248	OPER   	->
248	IDEN   	fin
248	SPEC   	)
248	SPEC   	;
249	SPEC   	}
251	SC     	
252	REWD   	while
252	SPEC   	(
252	IDEN   	isdigit
252	SPEC   	(
252	IDEN   	c
252	SPEC   	)
252	SPEC   	)
253	SPEC   	{
254	IDEN   	buffer
254	OPER   	[
254	IDEN   	index
254	OPER   	++
254	OPER   	]
254	OPER   	=
254	IDEN   	c
254	SPEC   	;
255	IDEN   	c
255	OPER   	=
255	IDEN   	fgetc
255	SPEC   	(
255	IDEN   	fr
255	OPER   	->
255	IDEN   	fin
255	SPEC   	)
255	SPEC   	;
256	SPEC   	}
258	SC     	
259	REWD   	if
259	SPEC   	(
259	IDEN   	c
259	OPER   	==
259	CHAR   	.
259	SPEC   	)
260	SPEC   	{
261	IDEN   	buffer
261	OPER   	[
261	IDEN   	index
261	OPER   	++
261	OPER   	]
261	OPER   	=
261	IDEN   	c
261	SPEC   	;
262	IDEN   	c
262	OPER   	=
262	IDEN   	fgetc
262	SPEC   	(
262	IDEN   	fr
262	OPER   	->
262	IDEN   	fin
262	SPEC   	)
262	SPEC   	;
264	SC     	
265	REWD   	while
265	SPEC   	(
265	IDEN   	isdigit
265	SPEC   	(
265	IDEN   	c
265	SPEC   	)
265	SPEC   	)
266	SPEC   	{
267	IDEN   	buffer
267	OPER   	[
267	IDEN   	index
267	OPER   	++
267	OPER   	]
267	OPER   	=
267	IDEN   	c
267	SPEC   	;
268	IDEN   	c
268	OPER   	=
268	IDEN   	fgetc
268	SPEC   	(
268	IDEN   	fr
268	OPER   	->
268	IDEN   	fin
268	SPEC   	)
268	SPEC   	;
269	SPEC   	}
270	SPEC   	}
271	REWD   	else
272	SPEC   	{
273	IDEN   	fseek
273	SPEC   	(
273	IDEN   	fr
273	OPER   	->
273	IDEN   	fin
273	OPER   	,
273	OPER   	-
273	IDEN   	index
273	OPER   	,
273	IDEN   	SEEK_CUR
273	SPEC   	)
273	SPEC   	;
274	REWD   	return
274	SPEC   	;
275	SPEC   	}
277	SC     	
278	REWD   	switch
278	SPEC   	(
278	IDEN   	c
278	SPEC   	)
279	SPEC   	{
280	REWD   	case
280	CHAR   	e
280	SPEC   	:
281	REWD   	case
281	CHAR   	E
281	SPEC   	:
282	IDEN   	buffer
282	OPER   	[
282	IDEN   	index
282	OPER   	++
282	OPER   	]
282	OPER   	=
282	IDEN   	c
282	SPEC   	;
283	IDEN   	c
283	OPER   	=
283	IDEN   	fgetc
283	SPEC   	(
283	IDEN   	fr
283	OPER   	->
283	IDEN   	fin
283	SPEC   	)
283	SPEC   	;
285	SC     	
286	REWD   	switch
286	SPEC   	(
286	IDEN   	c
286	SPEC   	)
287	SPEC   	{
288	REWD   	case
288	CHAR   	+
288	SPEC   	:
289	REWD   	case
289	CHAR   	-
289	SPEC   	:
290	IDEN   	buffer
290	OPER   	[
290	IDEN   	index
290	OPER   	++
290	OPER   	]
290	OPER   	=
290	IDEN   	c
290	SPEC   	;
291	IDEN   	c
291	OPER   	=
291	IDEN   	fgetc
291	SPEC   	(
291	IDEN   	fr
291	OPER   	->
291	IDEN   	fin
291	SPEC   	)
291	SPEC   	;
292	REWD   	if
292	SPEC   	(
292	IDEN   	isdigit
292	SPEC   	(
292	IDEN   	c
292	SPEC   	)
292	SPEC   	)
293	SPEC   	{
294	IDEN   	buffer
294	OPER   	[
294	IDEN   	index
294	OPER   	++
294	OPER   	]
294	OPER   	=
294	IDEN   	c
294	SPEC   	;
295	IDEN   	c
295	OPER   	=
295	IDEN   	fgetc
295	SPEC   	(
295	IDEN   	fr
295	OPER   	->
295	IDEN   	fin
295	SPEC   	)
295	SPEC   	;
296	SPEC   	}
297	REWD   	else
298	SPEC   	{
299	IDEN   	fseek
299	SPEC   	(
299	IDEN   	fr
299	OPER   	->
299	IDEN   	fin
299	OPER   	,
299	OPER   	,
299	IDEN   	SEEK_CUR
299	SPEC   	)
299	SPEC   	;
300	SPEC   	}
301	REWD   	break
301	SPEC   	;
302	REWD   	default
302	SPEC   	:
303	IDEN   	fseek
303	SPEC   	(
303	IDEN   	fr
303	OPER   	->
303	IDEN   	fin
303	OPER   	,
303	OPER   	,
303	IDEN   	SEEK_CUR
303	SPEC   	)
303	SPEC   	;
304	REWD   	break
304	SPEC   	;
305	SPEC   	}
306	SC     	
307	REWD   	while
307	SPEC   	(
307	IDEN   	isdigit
307	SPEC   	(
307	IDEN   	c
307	SPEC   	)
307	SPEC   	)
308	SPEC   	{
309	IDEN   	buffer
309	OPER   	[
309	IDEN   	index
309	OPER   	++
309	OPER   	]
309	OPER   	=
309	IDEN   	c
309	SPEC   	;
310	IDEN   	c
310	OPER   	=
310	IDEN   	fgetc
310	SPEC   	(
310	IDEN   	fr
